chr	start	end	value
Chr01	2370000	2375000	9
Chr01	2375000	2380000	18
Chr01	2380000	2385000	20
Chr01	2385000	2390000	40
Chr01	2390000	2395000	25
Chr01	2395000	2400000	26
Chr01	2400000	2405000	42
Chr01	2405000	2410000	20
Chr01	2410000	2415000	47
Chr01	2415000	2420000	18
Chr01	2420000	2425000	59
Chr01	2425000	2430000	25
Chr01	2430000	2435000	32
Chr01	2435000	2440000	44
Chr01	2440000	2445000	23
Chr01	2445000	2450000	33
Chr01	2450000	2455000	29
Chr01	2455000	2460000	53
Chr01	2460000	2465000	36
Chr01	2465000	2470000	41
Chr01	2470000	2475000	11
Chr01	2475000	2480000	38
Chr01	2480000	2485000	0
Chr01	2485000	2490000	35
Chr01	2490000	2495000	34
Chr01	2495000	2500000	22
Chr01	2500000	2505000	17
Chr01	2505000	2510000	38
Chr01	2510000	2515000	9
Chr01	2515000	2520000	9
Chr01	2520000	2525000	47
Chr01	2525000	2530000	32
Chr01	2530000	2535000	37
Chr01	2535000	2540000	36
Chr01	2540000	2545000	29
Chr01	2545000	2550000	43
Chr01	2550000	2555000	27
Chr01	2555000	2560000	0
Chr01	2560000	2565000	6
Chr01	2565000	2570000	29
Chr01	2570000	2575000	37
Chr01	2575000	2580000	14
Chr01	2580000	2585000	17
Chr01	2585000	2590000	29
Chr01	2590000	2595000	12
Chr01	2595000	2600000	47
Chr01	2600000	2605000	24
Chr01	2605000	2610000	33
Chr01	2610000	2615000	43
Chr01	2615000	2620000	23
Chr01	2620000	2625000	22
Chr01	2625000	2630000	25
Chr01	2630000	2635000	17
Chr01	2635000	2640000	20
Chr01	2640000	2645000	26
Chr01	2645000	2650000	35
Chr01	2650000	2655000	12
Chr01	2655000	2660000	6
Chr01	2660000	2665000	29
Chr01	2665000	2670000	19
Chr01	2670000	2675000	20
Chr01	2675000	2680000	32
Chr01	2680000	2685000	72
Chr01	2685000	2690000	34
Chr01	2690000	2695000	16
Chr01	2695000	2700000	20
Chr01	2700000	2705000	30
Chr01	2705000	2710000	18
Chr01	2710000	2715000	27
Chr01	2715000	2720000	36
Chr01	2720000	2725000	32
Chr01	2725000	2730000	28
Chr01	2730000	2735000	37
Chr01	2735000	2740000	11
Chr01	2740000	2745000	11
Chr01	2745000	2750000	6
Chr01	2750000	2755000	6
Chr01	2755000	2760000	44
Chr01	2760000	2765000	13
Chr01	2765000	2770000	19
Chr01	2770000	2775000	8
Chr01	2775000	2780000	47
Chr01	2780000	2785000	25
Chr01	2785000	2790000	17
Chr01	2790000	2795000	30
Chr01	2795000	2800000	20
Chr01	2800000	2805000	17
Chr01	2805000	2810000	32
Chr01	2810000	2815000	42
Chr01	2815000	2820000	54
Chr01	2820000	2825000	32
Chr01	2825000	2830000	32
Chr01	2830000	2835000	27
Chr01	2835000	2840000	23
Chr01	2840000	2845000	26
Chr01	2845000	2850000	32
Chr01	2850000	2855000	35
Chr01	2855000	2860000	28
Chr01	2860000	2865000	49
Chr01	2865000	2870000	28
Chr01	2870000	2875000	19
Chr01	2875000	2880000	38
Chr01	2880000	2885000	39
Chr01	2885000	2890000	35
Chr01	2890000	2895000	58
Chr01	2895000	2900000	47
Chr01	2900000	2905000	36
Chr01	2905000	2910000	57
Chr01	2910000	2915000	42
Chr01	2915000	2920000	29
Chr01	2920000	2925000	40
Chr01	2925000	2930000	52
Chr01	2930000	2935000	38
Chr01	2935000	2940000	14
Chr01	2940000	2945000	23
Chr01	2945000	2950000	12
Chr01	2950000	2955000	38
Chr01	2955000	2960000	26
Chr01	2960000	2965000	21
Chr01	2965000	2970000	18
Chr01	2970000	2975000	59
Chr01	2975000	2980000	33
Chr01	2980000	2985000	27
Chr01	2985000	2990000	27
Chr01	2990000	2995000	18
Chr01	2995000	3000000	24
Chr01	3000000	3005000	56
Chr01	3005000	3010000	30
Chr01	3010000	3015000	24
Chr01	3015000	3020000	18
Chr01	3020000	3025000	26
Chr01	3025000	3030000	18
Chr01	3030000	3035000	47
Chr01	3035000	3040000	47
Chr01	3040000	3045000	43
Chr01	3045000	3050000	9
Chr01	3050000	3055000	39
Chr01	3055000	3060000	15
Chr01	3060000	3065000	27
Chr01	3065000	3070000	30
Chr01	3070000	3075000	43
Chr01	3075000	3080000	41
Chr01	3080000	3085000	75
Chr01	3085000	3090000	35
Chr01	3090000	3095000	25
Chr01	3095000	3100000	43
Chr01	3100000	3105000	12
Chr01	3105000	3110000	14
Chr01	3110000	3115000	47
Chr01	3115000	3120000	33
Chr01	3120000	3125000	15
Chr01	3125000	3130000	33
Chr01	3130000	3135000	29
Chr01	3135000	3140000	46
Chr01	3140000	3145000	47
Chr01	3145000	3150000	17
Chr01	3150000	3155000	12
Chr01	3155000	3160000	6
Chr01	3160000	3165000	17
Chr01	3165000	3170000	32
Chr01	3170000	3175000	30
Chr01	3175000	3180000	209
Chr01	3180000	3185000	35
Chr01	3185000	3190000	13
Chr01	3190000	3195000	25
Chr01	3195000	3200000	43
Chr01	3200000	3205000	37
Chr01	3205000	3210000	26
Chr01	3210000	3215000	20
Chr01	3215000	3220000	47
Chr01	3220000	3225000	36
Chr01	3225000	3230000	21
Chr01	3230000	3235000	39
Chr01	3235000	3240000	36
Chr01	3240000	3245000	26
Chr01	3245000	3250000	20
Chr01	3250000	3255000	24
Chr01	3255000	3260000	25
Chr01	3260000	3265000	14
Chr01	3265000	3270000	6
Chr01	3270000	3275000	6
Chr01	3275000	3280000	0
Chr01	3280000	3285000	18
Chr01	3285000	3290000	26
Chr01	3290000	3295000	20
Chr01	3295000	3300000	35
Chr01	3300000	3305000	30
Chr01	3305000	3310000	26
Chr01	3310000	3315000	29
Chr01	3315000	3320000	31
Chr01	3320000	3325000	10
Chr01	3325000	3330000	17
Chr01	3330000	3335000	6
Chr01	3335000	3340000	20
Chr01	3340000	3345000	20
Chr01	3345000	3350000	18
Chr01	3350000	3355000	35
Chr01	3355000	3360000	22
Chr01	3360000	3365000	28
Chr01	3365000	3370000	35
Chr01	3370000	3375000	31
Chr01	3375000	3380000	25
Chr01	3380000	3385000	41
Chr01	3385000	3390000	30
Chr01	3390000	3395000	33
Chr01	3395000	3400000	9
Chr01	3400000	3405000	23
Chr01	3405000	3410000	28
Chr01	3410000	3415000	20
Chr01	3415000	3420000	30
Chr01	3420000	3425000	45
Chr01	3425000	3430000	26
Chr01	3430000	3435000	0
Chr01	3435000	3440000	32
Chr01	3440000	3445000	21
Chr01	3445000	3450000	24
Chr01	3450000	3455000	36
Chr01	3455000	3460000	23
Chr01	3460000	3465000	61
Chr01	3465000	3470000	29
Chr01	3470000	3475000	0
Chr01	3475000	3480000	27
Chr01	3480000	3485000	33
Chr01	3485000	3490000	21
Chr01	3490000	3495000	18
Chr01	3495000	3500000	36
Chr01	3500000	3505000	33
Chr01	3505000	3510000	47
Chr01	3510000	3515000	14
Chr01	3515000	3520000	18
Chr01	3520000	3525000	35
Chr01	3525000	3530000	41
Chr01	3530000	3535000	25
Chr01	3535000	3540000	16
Chr01	3540000	3545000	16
Chr01	3545000	3550000	38
Chr01	3550000	3555000	8
Chr01	3555000	3560000	31
Chr01	3560000	3565000	28
Chr01	3565000	3570000	15
Chr01	3570000	3575000	29
Chr01	3575000	3580000	41
Chr01	3580000	3585000	62
Chr01	3585000	3590000	19
Chr01	3590000	3595000	25
Chr01	3595000	3600000	23
Chr01	3600000	3605000	32
Chr01	3605000	3610000	14
Chr01	3610000	3615000	30
Chr01	3615000	3620000	36
Chr01	3620000	3625000	29
Chr01	3625000	3630000	20
Chr01	3630000	3635000	23
Chr01	3635000	3640000	38
Chr01	3640000	3645000	23
Chr01	3645000	3650000	15
Chr01	3650000	3655000	26
Chr01	3655000	3660000	17
Chr01	3660000	3665000	11
Chr01	3665000	3670000	32
Chr01	3670000	3675000	42
Chr01	3675000	3680000	57
Chr01	3680000	3685000	32
Chr01	3685000	3690000	57
Chr01	3690000	3695000	35
Chr01	3695000	3700000	36
Chr01	3700000	3705000	54
Chr01	3705000	3710000	41
Chr01	3710000	3715000	24
Chr01	3715000	3720000	41
Chr01	3720000	3725000	29
Chr01	3725000	3730000	22
Chr01	3730000	3735000	38
Chr01	3735000	3740000	15
Chr01	3740000	3745000	6
Chr01	3745000	3750000	15
Chr01	3750000	3755000	0
Chr01	3755000	3758135	0
Chr02	1	5000	9
Chr02	5000	10000	30
Chr02	10000	15000	27
Chr02	15000	20000	23
Chr02	20000	25000	31
Chr02	25000	30000	23
Chr02	30000	35000	23
Chr02	35000	40000	16
Chr02	40000	45000	50
Chr02	45000	50000	47
Chr02	50000	55000	23
Chr02	55000	60000	17
Chr02	60000	65000	28
Chr02	65000	70000	19
Chr02	70000	75000	41
Chr02	75000	80000	33
Chr02	80000	85000	22
Chr02	85000	90000	27
Chr02	90000	95000	20
Chr02	95000	100000	20
Chr02	100000	105000	26
Chr02	105000	110000	32
Chr02	110000	115000	37
Chr02	115000	120000	38
Chr02	120000	125000	32
Chr02	125000	130000	28
Chr02	130000	135000	39
Chr02	135000	140000	35
Chr02	140000	145000	49
Chr02	145000	150000	29
Chr02	150000	155000	24
Chr02	155000	160000	15
Chr02	160000	165000	35
Chr02	165000	170000	40
Chr02	170000	175000	49
Chr02	175000	180000	20
Chr02	180000	185000	26
Chr02	185000	190000	29
Chr02	190000	195000	56
Chr02	195000	200000	22
Chr02	200000	205000	22
Chr02	205000	210000	19
Chr02	210000	215000	25
Chr02	215000	220000	25
Chr02	220000	225000	31
Chr02	225000	230000	26
Chr02	230000	235000	38
Chr02	235000	240000	25
Chr02	240000	245000	14
Chr02	245000	250000	8
Chr02	250000	255000	44
Chr02	255000	260000	38
Chr02	260000	265000	40
Chr02	265000	270000	35
Chr02	270000	275000	32
Chr02	275000	280000	32
Chr02	280000	285000	39
Chr02	285000	290000	35
Chr02	290000	295000	20
Chr02	295000	300000	13
Chr02	300000	305000	23
Chr02	305000	310000	39
Chr02	310000	315000	27
Chr02	315000	320000	39
Chr02	320000	325000	35
Chr02	325000	330000	18
Chr02	330000	335000	24
Chr02	335000	340000	26
Chr02	340000	345000	16
Chr02	345000	350000	10
Chr02	350000	355000	17
Chr02	355000	360000	15
Chr02	360000	365000	21
Chr02	365000	370000	32
Chr02	370000	375000	21
Chr02	375000	380000	0
Chr02	380000	385000	0
Chr02	385000	390000	21
Chr02	390000	395000	32
Chr02	395000	400000	31
Chr02	400000	405000	29
Chr02	405000	410000	47
Chr02	410000	415000	35
Chr02	415000	420000	37
Chr02	420000	425000	23
Chr02	425000	430000	35
Chr02	430000	435000	20
Chr02	435000	440000	29
Chr02	440000	445000	34
Chr02	445000	450000	22
Chr02	450000	455000	8
Chr02	455000	460000	38
Chr02	460000	465000	33
Chr02	465000	470000	39
Chr02	470000	475000	24
Chr02	475000	480000	15
Chr02	480000	485000	39
Chr02	485000	490000	26
Chr02	490000	495000	14
Chr02	495000	500000	41
Chr02	500000	505000	25
Chr02	505000	510000	26
Chr02	510000	515000	38
Chr02	515000	520000	21
Chr02	520000	525000	42
Chr02	525000	530000	23
Chr02	530000	535000	17
Chr02	535000	540000	26
Chr02	540000	545000	28
Chr02	545000	550000	17
Chr02	550000	555000	15
Chr02	555000	560000	14
Chr02	560000	565000	28
Chr02	565000	570000	67
Chr02	570000	575000	25
Chr02	575000	580000	35
Chr02	580000	585000	29
Chr02	585000	590000	31
Chr02	590000	595000	31
Chr02	595000	600000	14
Chr02	600000	605000	0
Chr02	605000	610000	0
Chr02	610000	615000	18
Chr02	615000	620000	26
Chr02	620000	625000	10
Chr02	625000	630000	34
Chr02	630000	635000	20
Chr02	635000	640000	29
Chr02	640000	645000	5
Chr02	645000	650000	15
Chr02	650000	655000	24
Chr02	655000	660000	12
Chr02	660000	665000	0
Chr02	665000	670000	15
Chr02	670000	675000	17
Chr02	675000	680000	6
Chr02	680000	685000	0
Chr02	685000	690000	0
Chr02	690000	695000	0
Chr02	695000	700000	0
Chr02	700000	705000	29
Chr02	705000	710000	17
Chr02	710000	715000	0
Chr02	715000	720000	0
Chr02	720000	725000	25
Chr02	725000	730000	23
Chr02	730000	735000	35
Chr02	735000	740000	34
Chr02	740000	745000	32
Chr02	745000	750000	38
Chr02	750000	755000	23
Chr02	755000	760000	35
Chr02	760000	765000	23
Chr02	765000	770000	35
Chr02	770000	775000	0
Chr02	775000	780000	29
Chr02	780000	785000	29
Chr02	785000	790000	12
Chr02	790000	795000	0
Chr02	795000	800000	0
Chr02	800000	805000	5
Chr02	805000	810000	8
Chr02	810000	815000	0
Chr02	815000	820000	0
Chr02	820000	825000	0
Chr02	825000	830000	0
Chr02	830000	835000	0
Chr02	835000	840000	0
Chr02	840000	845000	11
Chr02	845000	850000	11
Chr02	850000	855000	15
Chr02	855000	860000	11
Chr02	860000	865000	22
Chr02	865000	870000	8
Chr02	870000	875000	0
Chr02	875000	880000	0
Chr02	880000	885000	0
Chr02	885000	890000	0
Chr02	890000	895000	0
Chr02	895000	900000	0
Chr02	900000	905000	0
Chr02	905000	910000	17
Chr02	910000	915000	5
Chr02	915000	920000	26
Chr02	920000	925000	47
Chr02	925000	930000	38
Chr02	930000	935000	39
Chr02	935000	940000	0
Chr02	940000	945000	15
Chr02	945000	950000	0
Chr02	950000	955000	0
Chr02	955000	960000	12
Chr02	960000	965000	27
Chr02	965000	970000	34
Chr02	970000	975000	0
Chr02	975000	980000	0
Chr02	980000	985000	24
Chr02	985000	990000	12
Chr02	990000	995000	9
Chr02	995000	1000000	12
Chr02	1000000	1005000	38
Chr02	1005000	1010000	46
Chr02	1010000	1015000	0
Chr02	1015000	1020000	0
Chr02	1020000	1025000	9
Chr02	1025000	1030000	39
Chr02	1030000	1035000	29
Chr02	1035000	1040000	11
Chr02	1040000	1045000	0
Chr02	1045000	1050000	15
Chr02	1050000	1055000	27
Chr02	1055000	1060000	30
Chr02	1060000	1065000	0
Chr02	1065000	1070000	0
Chr02	1070000	1075000	0
Chr02	1075000	1080000	0
Chr02	1080000	1085000	23
Chr02	1085000	1090000	46
Chr02	1090000	1095000	41
Chr02	1095000	1100000	0
Chr02	1100000	1105000	0
Chr02	1105000	1110000	0
Chr02	1110000	1115000	12
Chr02	1115000	1120000	0
Chr02	1120000	1125000	0
Chr02	1125000	1130000	0
Chr02	1130000	1135000	0
Chr02	1135000	1140000	0
Chr02	1140000	1145000	0
Chr02	1145000	1150000	0
Chr02	1150000	1155000	0
Chr02	1155000	1160000	8
